Package,LibPath,Version,Priority,Built
reshape2,C:/Program Files/R/R-3.3.3/library,1.4.2,NA,3.3.3
rlang,C:/Program Files/R/R-3.3.3/library,0.1.6,NA,3.3.3
rmarkdown,C:/Program Files/R/R-3.3.3/library,1.6,NA,3.3.3
rpart,C:/Program Files/R/R-3.3.3/library,4.1-10,recommended,3.3.3
rpivotTable,C:/Program Files/R/R-3.3.3/library,0.2.0,NA,3.3.3
rprojroot,C:/Program Files/R/R-3.3.3/library,1.2,NA,3.3.3
RSQLite,C:/Program Files/R/R-3.3.3/library,2.0,NA,3.3.3
rstudioapi,C:/Program Files/R/R-3.3.3/library,0.7,NA,3.3.3
Rttf2pt1,C:/Program Files/R/R-3.3.3/library,1.3.4,NA,3.3.2
rvest,C:/Program Files/R/R-3.3.3/library,0.3.2,NA,3.3.3
scales,C:/Program Files/R/R-3.3.3/library,0.4.1,NA,3.3.3
selectr,C:/Program Files/R/R-3.3.3/library,0.3-1,NA,3.3.3
shiny,C:/Program Files/R/R-3.3.3/library,1.0.5,NA,3.3.3
sourcetools,C:/Program Files/R/R-3.3.3/library,0.1.6,NA,3.3.3
SparseM,C:/Program Files/R/R-3.3.3/library,1.76,NA,3.3.3
spatial,C:/Program Files/R/R-3.3.3/library,7.3-11,recommended,3.3.3
splines,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
sqldf,C:/Program Files/R/R-3.3.3/library,0.4-11,NA,3.3.3
stats,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
stats4,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
stringi,C:/Program Files/R/R-3.3.3/library,1.1.5,NA,3.3.3
stringr,C:/Program Files/R/R-3.3.3/library,1.2.0,NA,3.3.3
styler,C:/Program Files/R/R-3.3.3/library,1.0.0,NA,3.3.3
survival,C:/Program Files/R/R-3.3.3/library,2.40-1,recommended,3.3.3
tcltk,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
testthat,C:/Program Files/R/R-3.3.3/library,2.0.0,NA,3.3.3
tibble,C:/Program Files/R/R-3.3.3/library,1.4.2,NA,3.3.3
tidyr,C:/Program Files/R/R-3.3.3/library,0.7.2,NA,3.3.3
tidyselect,C:/Program Files/R/R-3.3.3/library,0.2.3,NA,3.3.3
